station,date,daily_entries
1 AVE,2013-06-05,24962.0
1 AVE,2013-06-06,24611.0
1 AVE,2013-06-07,26186.0
1 AVE,2013-06-08,19754.0
1 AVE,2013-06-09,18813.0
1 AVE,2013-06-10,22130.0
1 AVE,2013-06-11,22070.0
1 AVE,2013-06-12,24498.0
1 AVE,2013-06-13,25727.0
1 AVE,2013-06-14,24158.0
1 AVE,2013-06-15,22910.0
1 AVE,2013-06-16,17908.0
1 AVE,2013-06-17,17879.0
1 AVE,2013-06-18,23069.0
1 AVE,2013-06-19,23781.0
1 AVE,2013-06-20,25447.0
1 AVE,2013-06-21,23143.0
1 AVE,2013-06-22,22302.0
1 AVE,2013-06-23,18009.0
1 AVE,2013-06-24,18860.0
1 AVE,2013-06-25,22907.0
1 AVE,2013-06-26,24179.0
1 AVE,2013-06-27,23455.0
1 AVE,2013-06-28,23769.0
1 AVE,2013-06-29,22372.0
1 AVE,2013-06-30,19064.0
1 AVE,2013-07-01,19117.0
1 AVE,2013-07-02,21204.0
1 AVE,2013-07-03,22396.0
1 AVE,2013-07-04,18271.0
1 AVE,2013-07-05,16893.0
1 AVE,2013-07-06,17142.0
1 AVE,2013-07-07,14527.0
1 AVE,2013-07-08,17516.0
1 AVE,2013-07-09,20973.0
1 AVE,2013-07-10,22452.0
1 AVE,2013-07-11,23262.0
1 AVE,2013-07-12,23820.0
1 AVE,2013-07-13,21170.0
1 AVE,2013-07-14,17884.0
1 AVE,2013-07-15,18217.0
1 AVE,2013-07-16,21758.0
1 AVE,2013-07-17,22495.0
1 AVE,2013-07-18,22894.0
1 AVE,2013-07-19,23537.0
1 AVE,2013-07-20,20523.0
1 AVE,2013-07-21,17502.0
1 AVE,2013-07-22,18013.0
1 AVE,2013-07-23,20703.0
1 AVE,2013-07-24,22680.0
1 AVE,2013-07-25,23531.0
1 AVE,2013-07-26,23268.0
1 AVE,2013-07-27,22059.0
1 AVE,2013-07-28,17374.0
1 AVE,2013-07-29,17951.0
1 AVE,2013-07-30,21708.0
1 AVE,2013-07-31,22222.0
1 AVE,2013-08-01,23258.0
1 AVE,2013-08-02,22256.0
1 AVE,2013-08-03,20801.0
1 AVE,2013-08-04,17350.0
1 AVE,2013-08-05,16779.0
1 AVE,2013-08-06,21150.0
1 AVE,2013-08-07,21559.0
1 AVE,2013-08-08,22305.0
1 AVE,2013-08-09,22047.0
1 AVE,2013-08-10,20751.0
1 AVE,2013-08-11,16322.0
1 AVE,2013-08-12,16963.0
1 AVE,2013-08-13,21634.0
1 AVE,2013-08-14,20839.0
1 AVE,2013-08-15,21943.0
1 AVE,2013-08-16,22160.0
1 AVE,2013-08-17,20596.0
1 AVE,2013-08-18,15997.0
1 AVE,2013-08-19,16703.0
1 AVE,2013-08-20,20409.0
1 AVE,2013-08-21,21086.0
1 AVE,2013-08-22,21629.0
1 AVE,2013-08-23,21698.0
1 AVE,2013-08-24,19440.0
1 AVE,2013-08-25,14235.0
1 AVE,2013-08-26,16460.0
1 AVE,2013-08-27,20219.0
1 AVE,2013-08-28,21094.0
1 AVE,2013-08-29,21227.0
1 AVE,2013-08-30,21947.0
1 AVE,2013-08-31,18631.0
1 AVE,2013-09-01,13442.0
1 AVE,2013-09-02,11831.0
1 AVE,2013-09-03,16346.0
1 AVE,2013-09-04,20934.0
1 AVE,2013-09-05,21348.0
1 AVE,2013-09-06,22070.0
1 AVE,2013-09-07,21128.0
1 AVE,2013-09-08,16522.0
1 AVE,2013-09-09,18796.0
1 AVE,2013-09-10,23499.0
1 AVE,2013-09-11,24419.0
1 AVE,2013-09-12,26381.0
1 AVE,2013-09-13,22222.0
